x,y
-8.16852296804281,-8.476134046922786
7.97416781440987,-2.9404957789330917
-6.124521839427427,6.585898525165097
-7.743437149402433,-8.64910289106367
-7.733649408780981,-8.906678638598533
-7.883038163812916,-8.556948608297063
-7.807144086788287,-8.791569953322206
8.073116131058315,-3.3416949424105162
-5.896875287253967,6.3569062468379185
-7.769180398543565,-8.74953645467768
-7.480530862905191,-8.238149073714776
-7.515063646601731,-8.71449061442198
7.961558376188803,-3.3921920823476936
8.128692251357387,-2.9737542541754705
-5.612276322724631,6.273077213969856
-5.857486016728723,6.593321103943743
8.344404811029216,-3.5286686005782184
8.08488958641035,-3.64672893674932
-7.90067560442353,-8.772827603605965
8.02582661789335,-3.460322115098222
8.100331445216431,-3.458856272813181
-6.39376456083323,6.410690177139323
-7.773768848328214,-8.68490180963438
-7.596777461119368,-8.920942035718245
-5.728135303552041,6.261573669976305
-7.804875778370583,-8.702176355530737
-5.940336218118253,6.030332420916298
-7.594958160444685,-8.504595992878034
-5.825053416873351,6.476087578691802
8.116587881786458,-3.3945535920979166
7.805216301475554,-2.5581486782815155
-5.737402618950838,6.392236122106113
8.188656930581454,-3.34364575002708
8.5876084269994,-3.187605763880467
7.788365305522742,-3.6976621040697655
7.8539496487438445,-3.4760466295639083
-5.832811598874418,6.389946900213972
-5.770346248818189,6.333606390349865
-5.557824802495516,6.474447820442127
7.910619046831711,-3.5481838874803264
8.137816162482492,-3.3803632148479257
-6.4992692502758755,6.443786303905001
-7.820954244638889,-8.651297547747678
-5.62497183665312,6.584429055844688
-5.831206695937357,6.449935159067857
-7.900073543014884,-8.464511649098219
-5.799837578178834,6.490064703183181
8.39434255926345,-3.3577592111191294
8.09059215370719,-3.570692630989357
-5.76310333912534,6.424362377648416
-5.878609194953308,6.389518781036025
-5.9899550458155115,6.442682785849889
-5.443004936585328,6.488363727930269
-6.356223300044371,6.6483965611150655
-7.341333002864566,-8.979017919599253
-7.766702438451338,-8.472082121866064
8.340706363208927,-3.2764322334776437
-6.024337133330092,6.558933933117515
-7.8128809491409665,-8.706635846571011
8.299894578139886,-3.427730922814529
8.358392909913716,-3.5256616450676295
-5.866305301878085,6.778104355034361
-5.769221979680584,6.373897538656074
-7.965548022022055,-8.765038142520044
-7.5212802380329205,-8.712366815283803
-5.496460103586805,6.296334862607988
8.121662811220643,-3.3734059157906824
-7.726321459361336,-8.77311210055111
-5.911253783119915,6.3125937760866515
-7.972712853343096,-8.742180973002474
-5.9577647598033225,6.20756658245892
-7.524883556866205,-8.742022733219267
-5.949947911619709,6.39845439211914
-7.925022864816803,-8.707450104629354
8.143837295846444,-3.3506001492279243
-7.799841678208444,-8.70087738291412
-5.759738348969294,6.417798582918532
8.00790632293324,-3.2326971988099342
-8.318110337934435,-8.847787233959531
-7.754576205797669,-8.635239670244822
-5.692526159709217,6.181085233683726
-5.72569377493464,6.463151035546506
-7.718945534985648,-8.736955190377342
8.361103668501674,-3.4327594632421436
-5.961280640472847,6.497578960077422
-7.80506236316278,-8.521150946129007
-7.90679247919721,-8.806695712625556
8.107459248572106,-3.767377131682103
-7.826139138837372,-8.647522339823597
-6.251240551534377,5.963671795472458
-8.126626349221347,-9.118160322753308
8.251633234725343,-3.6228239329346956
7.87109200957978,-3.023146270911959
8.41528300064525,-3.377903068554427
-5.734417611623187,6.560311388163289
8.413969936219864,-3.3950737390956243
-5.904063007020296,6.229174903423512
-7.694536953820091,-8.956169483850669
-5.639935509683571,6.277050982136889
-5.484375734350346,6.444364759708419
-5.348119049616123,6.807545872299008
-5.764205485644463,6.483732466388723
7.99798571399455,-3.7156239314097195
